Title;Author;Publisher;ReadSituation;Owner
Osmanlý Modernleþmesi;Kemal H. Karpat;Timaþ Yayýnlarý;To-Read;Ege Balçýk
Osmanlý Tarihinin Kýsa Sosyal Tarihi;Kemal H. Karpat;Timaþ Yayýnlarý;To-Read;Ege Balçýk
Sosyolojiye Giriþ;Ken Browne;;To-Read;Ege Balçýk
Anatomi 101;Kevin Langford;Say Yayýnlarý;To-Read;Ege Balçýk
Kadýnlar Adasý;Kiran Millwood Hargrave;Ýthaki;To-Read;Ege Balçýk
Açlýk;Knut Hamsun;Varlýk;To-Read;Ege Balçýk
Diriliþ;L. N. Tolstoy;Can Yayýnlarý;Read;Ege Balçýk
Kroyçer Sonat;L. N. Tolstoy;Ýletiþim;Read;Ege Balçýk
Kazaklar;L. N. Tolstoy;Ýskele;Read;Ege Balçýk
Anna Karenina;L. N. Tolstoy;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Ývan Ýlyiç'in Ölümü;L. N. Tolstoy;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Ýnsan Ne Ýle Yaþar?;L. N. Tolstoy;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Savaþ ve Barýþ 1;L. N. Tolstoy;Sosyal Yayýnlar;To-Read;Ege Balçýk
Savaþ ve Barýþ 2;L. N. Tolstoy;Sosyal Yayýnlar;To-Read;Ege Balçýk
Savaþ ve Barýþ 3;L. N. Tolstoy;Sosyal Yayýnlar;To-Read;Ege Balçýk
Savaþ ve Barýþ 4;L. N. Tolstoy;Sosyal Yayýnlar;To-Read;Ege Balçýk
Yalnýzlýðýn Felsefesi;Lars Svendsen;Redingot;To-Read;Ege Balçýk
Sevgili Arsýz Ölüm;Latife Tekin;Can Yayýnlarý;Read;Ege Balçýk
Kürklü Venüs;Leopold Von Sacher-Masoch;Ayrýntý;To-Read;Ege Balçýk
Modern Zamanýn Tarihi;Levent Yýlmaz;Metis Yayýnlarý;To-Read;Ege Balçýk
Olgunlaþmamýþ Ebeveynlerin Yetiþkin Çocuklarý;Lindsay C. Gibson;Sola Unitas;To-Read;Ege Balçýk
Týrmanýþ;Ludwig Hohl;Sahi Kitap;Read;Ege Balçýk
Biri, Hiçbiri, Binlercesi;Luigi Pirandello;Aylak Adam;To-Read;Ege Balçýk
Ekonominin Temelleri;Mahfi Eðilmez;Remzi;To-Read;Ege Balçýk
Mikroekonomi;Mahfi Eðilmez;Remzi;To-Read;Ege Balçýk
Deðiþim Sürecinde Türkiye;Mahfi Eðilmez;Remzi;Read;Ege Balçýk
Inferis;Mahfi Eðilmez;Remzi;Read;Ege Balçýk
Çocukluðum;Maksim Gorki;Nobel;Read;Ege Balçýk
Ana;Maksim Gorki;Sosyal Yayýnlar;To-Read;Ege Balçýk
Swann'larýn Tarafý;Marcel Proust;YKY;To-Read;Ege Balçýk
Damýzlýk Kýzýn Öyküsü;Margaret Atwood;Doðan Kitap;To-Read;Ege Balçýk
Ýstanbullu Rum bir Ailenin Mutfak Serüveni;Marianna Yerasimos;YKY;To-Read;Ege Balçýk
Kadýnlara Karþý Savaþ;Marilyn French;Metis Yayýnlarý;To-Read;Ege Balçýk
Baba;Mario Puzo;E Yayýnlarý;Read;Ege Balçýk
Adem'le Havva'nýn Güncesi;Mark Twain;YKY;Read;Ege Balçýk
Yatak Odasýnda Felsefe;Marquis de Sade;Ýthaki;To-Read;Ege Balçýk
Robotlarýn Yükseliþi;Martin Ford;Kronik;To-Read;Ege Balçýk
Frankenstein;Mary Shelley;Ýletiþim;Read;Ege Balçýk
Mathilda;Mary Shelley;Ýthaki;To-Read;Ege Balçýk
Kadýn Haklarýnýn Gerekçelendirilmesi;Mary Wollstonecraft;Kafka Kitap;Read;Ege Balçýk
Ekin Sapý Devrimi;Masanobu Fukuoka;Kaos;To-Read;Ege Balçýk
Atlarý Baðlayýn Geceyi Burada Geçireceðiz;Melisa Kesmez;Ýletiþim;Read;Ege Balçýk
Nohut Oda;Melisa Kesmez;Ýletiþim;Read;Ege Balçýk
Bilinmeyen Sular;Mevsim Yenice;Can Yayýnlarý;Read;Ege Balçýk
Momo;Michael Ende;Kabalcý;To-Read;Ege Balçýk
Bu Bir Pipo Deðildir;Michel Foucault;YKY;To-Read;Ege Balçýk
Don Quijote;Miguel de Cervantes Saavedra;YKY;To-Read;Ege Balçýk
Usta ile Margarita;Mihail Bulgakov;Can Yayýnlarý;To-Read;Ege Balçýk
Genç Bir Doktorun Anýlarý;Mihail Bulgakov;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Dinler Tarihine Giriþ;Mircea Eliade;Alfa;To-Read;Ege Balçýk
Mitlerin Özellikleri;Mircea Eliade;Alfa;To-Read;Ege Balçýk
Kibarlýk Budalasý;Moliere;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Cimri;Moliere;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Denemeler;Montaigne;Cem Yayýnlarý;To-Read;Ege Balçýk
Kuran, Ýncil ve Tevrat'ýn Sümer'deki Kökeni;Muazzez Ýlmiye Çýð;Kaynak Yayýnlarý;Read;Ege Balçýk
Kirpinin Zarafeti;Muriel Barbery;Kýrmýzýkedi;Read;Ege Balçýk
Son Tiryaki;Müfit Özdeþ;Metis Yayýnlarý;Read;Ege Balçýk
Ölü Ozanlar Derneði;N. H. Kleinbaum;L&R;To-Read;Ege Balçýk
Ölü Ozanlar Derneði;N. H. Kleinbaum;NK;To-Read;Ege Balçýk
Dil Meseleleri;Necmiye Alpay;Metis Yayýnlarý;To-Read;Ege Balçýk
Dilimiz, Dillerimiz;Necmiye Alpay;Metis Yayýnlarý;Read;Ege Balçýk
Marxist Dünya Tarihi;Neil Faulkner;Yordam;To-Read;Ege Balçýk
Mezarlýk Kitabý;Neil Gaiman;Ýthaki;Read;Ege Balçýk
Prens;Niccolo Machiavelli;Can Yayýnlarý;To-Read;Ege Balçýk
Nasýl Yapmalý?;Nikolay Gavriloviç Çerniþevskiy;Kor;To-Read;Ege Balçýk
Ölü Canlar;Nikolay Vasilyeviç Gogol;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Palto;Nikolay Vasilyeviç Gogol;Ýthaki;Read;Ege Balçýk
Günaha Son Çaðrý;Nikos Kazancakis;Can Yayýnlarý;To-Read;Ege Balçýk
Zorba;Nikos Kazancakis;Can Yayýnlarý;Read;Ege Balçýk
Siyasetname;Nizamü'l-Mülk;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Bir Bilim Adamýnýn Romaný: Mustafa Ýnan;Oðuz Atay;Ýletiþim;Read;Ege Balçýk
Nöbetleþe Yoksulluk;Oðuz Iþýk-M. Melih Pýnarcýoðlu;Ýletiþim;To-Read;Ege Balçýk
Eski Yunan ve Roma Tarihine Giriþ;Oðuz Tekin;Ýletiþim;To-Read;Ege Balçýk
Java Ýle Programlamaya Giriþ;Olcay Taner Yýldýz;Seçkin;To-Read;Ege Balçýk
Hürrem Sultan;Oleksandra Þutko;Kitap Yayýnevi;To-Read;Ege Balçýk
Osmanlý'da Esrar ve Esrarkeþler;Onur Gezer;Ýletiþim;To-Read;Ege Balçýk
Ýktisat Sözlüðü;Orhan Hançerlioðlu;Remzi;To-Read;Ege Balçýk
Cemile;Orhan Kemal;Everest;Read;Ege Balçýk
Veba Geceleri;Orhan Pamuk;YKY;To-Read;Ege Balçýk
Kafamda Bir Tuhaflýk;Orhan Pamuk;YKY;To-Read;Ege Balçýk
Cevdet Bey ve Oðullarý;Orhan Pamuk;YKY;Read;Ege Balçýk
Masumiyet Müzesi;Orhan Pamuk;YKY;Read;Ege Balçýk
Dedem Korkudun Kitabý;Orhan Þaik Gökyay;Kabalcý;To-Read;Ege Balçýk
Hani;Oruç Aruoba;Metis Yayýnlarý;Read;Ege Balçýk
ile;Oruç Aruoba;Metis Yayýnlarý;Read;Ege Balçýk
Dorian Grey'in Portresi;Oscar Wilde;Can Yayýnlarý;Read;Ege Balçýk
Aþk, Özgürlük, Tekbaþýnalýk;Osho;Butik;Read;Ege Balçýk
80 Yaþ Zor Zamanlar Günlükleri;Oya Baydar;Can Yayýnlarý;To-Read;Ege Balçýk
Gerçek Hayat;Oylum Yýlmaz;Ýletiþim;Read;Ege Balçýk
Cadý;Oylum Yýlmaz;Ýletiþim;Read;Ege Balçýk
Rubailer;Ömer Hayyam;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Kum Tefrikalarý;Ömür Ýklim Demir;YKY;To-Read;Ege Balçýk
Muhtelif Evhamlar Kitabý;Ömür Ýklim Demir;YKY;Read;Ege Balçýk
Yuvarlaðýn Köþeleri;Özdemir Asaf;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Nurbanu ve Safiye Sultan;Özlem Kumrular;Doðan Kitap;Read;Ege Balçýk
Tembellik Hakký;Paul Lafargue;Aylak Adam;Read;Ege Balçýk
Master Algoritma;Pedro Domingos;Paloma;To-Read;Ege Balçýk
Dört Gelecek;Peter Frase;Küy;Read;Ege Balçýk
Müzakere 101;Peter Sander;Say Yayýnlarý;To-Read;Ege Balçýk
Fikirler Tarihi;Peter Watson;YKY;To-Read;Ege Balçýk
Büyük Ekonomistler;Phil Thornton;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Sürüne Sürüne Erkek Olmak;Pýnar Selek;Ýletiþim;To-Read;Ege Balçýk
Mülkiyet Nedir?;Pierre-Joseph Proudhon;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Sokrates'in Savunmasý;Platon;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Þölen-Dostluk;Platon;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Göç;R. A. Salvatore;Ýthaki;Read;Ege Balçýk
Anayurt;R. A. Salvatore;Laika;Read;Ege Balçýk
Sürgün;R. A. Salvatore;Laika;Read;Ege Balçýk
Lüzumsuz Kadýn;Rabih Alameddine ;Budala Kitap;To-Read;Ege Balçýk
Uðursuz Bir Þey Geliyor Bu Yana;Ray Bradbury;Ýthaki;To-Read;Ege Balçýk
Sonbahar Ülkesi;Ray Bradbury;Ýthaki;To-Read;Ege Balçýk
Cadýlar Bayramý Aðacý;Ray Bradbury;Ýthaki;To-Read;Ege Balçýk
Mars Yýllýklarý;Ray Bradbury;Ýthaki;Read;Ege Balçýk
Fahrenheit 451;Ray Bradbury;Ýthaki;Read;Ege Balçýk
Seçme Ýkilemi;Renata Salecl;Metis Yayýnlarý;To-Read;Ege Balçýk
Yöntem Üzerine Konuþma;Rene Descartes;Alfa;To-Read;Ege Balçýk
Kösem Sultan;Reþad Ekrem Koçu;Doðan Kitap;To-Read;Ege Balçýk
Binbirdirek Batakhanesi Cevahirli Hanýmsultan;Reþad Ekrem Koçu;Doðan Kitap;Read;Ege Balçýk
Aþk Yolunda Ýstanbul'da Neler Olmuþ;Reþad Ekrem Koçu;Doðan Kitap;Read;Ege Balçýk
Fatih Sultan Mehmed;Reþad Ekrem Koçu;Doðan Kitap;Read;Ege Balçýk
Çalýkuþu;Reþad Nuri Güntekin;Ýnkýlap;Read;Ege Balçýk
Bir Türkleþtirme Serüveni 1923-1945;Rýfat N. Bali;Ýletiþim;To-Read;Ege Balçýk
Dünya Yönetmenlerinden Sinema Dersleri;Rýza Oylum;Seyyah Kitap;To-Read;Ege Balçýk
Bira;Rick Kempen;Kolektif Kitap;To-Read;Ege Balçýk
Duygulara Sadakat;Robert C. Solomon;Nika;To-Read;Ege Balçýk
Dünyanýn Gözü-Zaman Çarký 1;Robert Jordan;Ýthaki;To-Read;Ege Balçýk
Gölge Yükseliyor-Zaman Çarký 4;Robert Jordan;Ýthaki;To-Read;Ege Balçýk
Dr. Jekyll ile Bay Hyde;Robert Louis Stevenson;Ýthaki;Read;Ege Balçýk
Kuyucaklý Yusuf;Sabahattin Ali;YKY;To-Read;Ege Balçýk
Ýçimizdeki Þeytan;Sabahattin Ali;YKY;To-Read;Ege Balçýk
Kör Baykuþ;Sadýk Hidayet;YKY;Read;Ege Balçýk
Ekonomi Dersleri;Sadun Aren;Ýmge;To-Read;Ege Balçýk
Tarih Sümer'de Baþlar;Samuel Noah Kramer;Kabalcý;To-Read;Ege Balçýk
Efsun;Selahattin Demirtaþ;Dipnot;To-Read;Ege Balçýk
Tante Rosa;Sevgi Soysal;Ýletiþim;Read;Ege Balçýk
Çaðdaþ Sosyal Teorisyenler 1;Sezgin Kýzýlçelik;Aný;To-Read;Ege Balçýk
Kadýnlar ve Sosyalizm;Sharon Smith;Yordam;To-Read;Ege Balçýk
Yeni Bir Çað Hayali;Sheila Rowbotham;Sel Yayýncýlýk;To-Read;Ege Balçýk
Genç Kýzlýk Çaðý;Simone De Beauvoir;Pavel;To-Read;Ege Balçýk
Kral Oidipus;Sophokles;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Hareket Ýblisi;Stefan Grabinski;Ýthaki;To-Read;Ege Balçýk
Dünün Dünyasý;Stefan Zweig;Can Yayýnlarý;To-Read;Ege Balçýk
Marie-Antoinette;Stefan Zweig;Can Yayýnlarý;Read;Ege Balçýk
Üç Büyük Usta;Stefan Zweig;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Melezler;Stephen Graham Jones;Ýthaki;To-Read;Ege Balçýk
Ivýr Zývýr Öyküler;Stephen Leacock;Dedalus;To-Read;Ege Balçýk
Yunan Mitolojisi Rehber Kitabý;Stephen P. Kershaw;Salon Yayýnlarý;To-Read;Ege Balçýk
Neredeyse Bir Balina;Steve Jones;Evrensel Basým Yayýn;To-Read;Ege Balçýk
21. Yüzyýlda Beyin;Steven Rose;Ginko;To-Read;Ege Balçýk
Sýrça Fanus;Sylvia Plath;Kýrmýzýkedi;Read;Ege Balçýk
Tek Adam 1;Þevket Süreyya Aydemir;Remzi;To-Read;Ege Balçýk
Zamanýn Kelimeleri;Tanýl Bora;Birikim Kitaplarý;To-Read;Ege Balçýk
Talebe;Tara Westover;Domingo Yayýnlarý;Read;Ege Balçýk
Materyalizm;Terry Eagleton;Tellekt;To-Read;Ege Balçýk
Ýktisat Tarihi;Tevfik Güran;Der Yayýnlarý;To-Read;Ege Balçýk
ýmmanuel Kant'ýn Son Günleri;Thomas de Quincey;Ketebe Yayýnlarý;To-Read;Ege Balçýk
Adsýz Sansýz Bir Jude;Thomas Hardy;Ýletiþim;To-Read;Ege Balçýk
Buddenbrooklar;Thomas Mann;Can Yayýnlarý;To-Read;Ege Balçýk
Dünya Tarihi 101;Tom Head;Say Yayýnlarý;Read;Ege Balçýk
Parfümün Dansý;Tom Robbins;Ayrýntý;Read;Ege Balçýk
Ýnfazcý;Trevanian;E Yayýnlarý;Read;Ege Balçýk
Shibumi;Trevanian;E Yayýnlarý;Read;Ege Balçýk
Tiffany'de Kahvaltý;Truman Capote;Sel Yayýncýlýk;Read;Ege Balçýk
Anneanne, Ben Aslýnda Diyarbakýr'da Deðildim;Tuðçe Tatari;Doðan Kitap;Read;Ege Balçýk
Kulleteyn;Turan Dursun;Kaynak Yayýnlarý;To-Read;Ege Balçýk
Romantika;Turgut Özakman;Bilgi Yayýnevi;Read;Ege Balçýk
Büyük Saat;Turgut Uyar;YKY;To-Read;Ege Balçýk
Göðe Bakma Duraðý;Turgut Uyar;YKY;Read;Ege Balçýk
Malafrena;Ursula K. Le Guin;Metis Yayýnlarý;To-Read;Ege Balçýk
Yerdeniz;Ursula K. Le Guin;Metis Yayýnlarý;To-Read;Ege Balçýk
Erkek Doðrama Cemiyeti Manifestosu;Valerie Solanas;Sel Yayýncýlýk;Read;Ege Balçýk
Güven 1;Vedat Türkali;Ayrýntý;To-Read;Ege Balçýk
Güven 2;Vedat Türkali;Ayrýntý;To-Read;Ege Balçýk
Bir Gün Tek Baþýna;Vedat Türkali;Ayrýntý;Read;Ege Balçýk
Bir Ýdam Mahkumunun Son Günü;Victor Hugo;Can Yayýnlarý;Read;Ege Balçýk
Sefiller 1;Victor Hugo;Oda Yayýnlarý;To-Read;Ege Balçýk
Sefiller 2;Victor Hugo;Oda Yayýnlarý;To-Read;Ege Balçýk
Theo'ya Mektuplar;Vincent Van Gogh;YKY;To-Read;Ege Balçýk
Kendine Ait Bir Oda;Virginia Woolf;Ýndigo;To-Read;Ege Balçýk
Candide;Voltaire;Alfa;Read;Ege Balçýk
Tanrýsýz Ahlak?;Walter Sinnott-Armstrong;Ayrýntý;Read;Ege Balçýk
Uykulu Kuytu Söylencesi;Washington Irving;Ýthaki;To-Read;Ege Balçýk
Güz Alacakaranlýðý Ejderhalarý;Weis & Hickman;Ýthaki;To-Read;Ege Balçýk
Tüklük ve Þamanlýk;Wilhelm Radloff;Örgün;To-Read;Ege Balçýk
Julius Caesar;William Shakespeare;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Bir Yaz Gecesi Rüyasý;William Shakespeare;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Romeo ve Juliet;William Shakespeare;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Kral Lear;William Shakespeare;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Hamlet;William Shakespeare;Maarif Matbaasý;Read;Ege Balçýk
Kapýlarýn Dýþýnda;Wolfgang Borchert;Can Yayýnlarý;Read;Ege Balçýk
Jöntürk Hareketi;Y. A. Petrosyan;Yordam;To-Read;Ege Balçýk
Yalanýn Siyaseti;Yalýn Alpay;Destek;To-Read;Ege Balçýk
Kýzýmla Ekonomi Sohbetleri;Yanis Varoufakis;Epsilon;Read;Ege Balçýk
Kadýnsýz Ýnkýlap;Yaprak Zihnioðlu;Metis Yayýnlarý;To-Read;Ege Balçýk
Türk Mitolojisinin Ana Hatlarý;Yaþar Çoruhlu;Ötüken Neþriyat;Reading;Ege Balçýk
Teneke;Yaþar Kemal;Adam;Read;Ege Balçýk
Çakýrcalý Efe;Yaþar Kemal;Adam;Read;Ege Balçýk
Demirciler Çarþýsý Cinayeti;Yaþar Kemal;YKY;To-Read;Ege Balçýk
Binboðalar Efsanesi;Yaþar Kemal;YKY;To-Read;Ege Balçýk
Fýrat Suyu Kan Akýyor Baksana;Yaþar Kemal;YKY;To-Read;Ege Balçýk
Filler Sultaný Ýle Kýrmýzý Sakallý Topal Karýnca;Yaþar Kemal;YKY;Read;Ege Balçýk
Yýlaný Öldürseler;Yaþar Kemal;YKY;Read;Ege Balçýk
Ýnce Memed 1;Yaþar Kemal;YKY;Read;Ege Balçýk
Biz;Yevgeni Zamyatin;Versus;Read;Ege Balçýk
Anayurt Oteli;Yusuf Atýlgan;YKY;To-Read;Ege Balçýk
Homo Deus;Yuval Noah Harari;Kolektif Kitap;To-Read;Ege Balçýk
Sapiens;Yuval Noah Harari;Kolektif Kitap;Read;Ege Balçýk
Gizli Kamera;Zoran Zivkovic;Zepros;Read;Ege Balçýk
Baþka Zaman Kütüphaneleri;Zoran Zivkovic;Zepros;Read;Ege Balçýk
Eðitim Üzerine;Zygmunt Bauman;Ayrýntý;To-Read;Ege Balçýk
Borçlu Zamanlarda Yaþamak;Zygmunt Bauman;Ayrýntý;To-Read;Ege Balçýk
Sosyolojik Düþünmek;Zygmunt Bauman;Ayrýntý;To-Read;Ege Balçýk
Azýnlýðýn Zenginliði Hepimizin Çýkarýna Mýdýr?;Zygmunt Bauman;Ayrýntý;Read;Ege Balçýk
Modernite, Kapitalizm, Sosyalizm;Zygmunt Bauman;Say Yayýnlarý;To-Read;Ege Balçýk
Dünya Sanat Tarihi;;Alfa;To-Read;Ege Balçýk
