Title;Author;Publisher;ReadSituation;Owner
Son Ýmparatorluk;Brandon Sanderson;Akýlçelen Kitaplar;Read;Ege Balçýk
Kuþatma;Brandon Sanderson;Akýlçelen Kitaplar;To-Read;Ege Balçýk
Arcanum Unbounded;Brandon Sanderson;Great Britain;To-Read;Ege Balçýk
Divanýmdaki Erkekler;Brandy Engler-D. Rensin;Ayrýntý;Read;Ege Balçýk
Leyla ile Mecnun;Burak Aksak;Küsurat;Read;Ege Balçýk
Sovyetler Birliði'nde Komünist Kadýn Hareketi 1919-1930;Burcu Özdemir;Yordam;To-Read;Ege Balçýk
Annemin Kaburgasý;Burçin Tetik;Ýletiþim;Read;Ege Balçýk
Filmlerle Sosyoloji;Bülent Diken-Carsten B. Laustsen;Metis Yayýnlarý;To-Read;Ege Balçýk
Güneþ Ülkesi;Campanella;Alfa;Read;Ege Balçýk
Etin Cinsel Politikasý;Carol J. Adams;Ayrýntý;To-Read;Ege Balçýk
Rüyadan Ýmparatorluða Osmanlý;Caroline Finkel;Timaþ Yayýnlarý;To-Read;Ege Balçýk
Kemalizm Sol Deðil;Cem Uzun;Mark-21;To-Read;Ege Balçýk
Kendine Ait Bir Roma;Cemal Kafadar;Metis Yayýnlarý;To-Read;Ege Balçýk
Ýki Cihan Aresinde;Cemal Kafadar;Metis Yayýnlarý;To-Read;Ege Balçýk
Kim var imiþ biz burada yoð iken;Cemal Kafadar;Metis Yayýnlarý;Read;Ege Balçýk
Sevda Sözleri;Cemal Süreya;YKY;Read;Ege Balçýk
Gün Olur Asra Bedel;Cengiz Aytmatov;Ketebe Yayýnlarý;To-Read;Ege Balçýk
Toprak Ana;Cengiz Aytmatov;Ötüken Neþriyat;Read;Ege Balçýk
Ýstanbul'da Bekar Kadýn Olmak;Ceren Lordoðlu;Ýletiþim;Read;Ege Balçýk
Büyük Umutlar;Charles Dickens;Can Yayýnlarý;To-Read;Ege Balçýk
Ýki Þehrin Hikayesi;Charles Dickens;Can Yayýnlarý;Read;Ege Balçýk
Müþterek Dostumuz 1;Charles Dickens;Ýthaki;Read;Ege Balçýk
Müþterek Dostumuz 2;Charles Dickens;Ýthaki;Read;Ege Balçýk
Jane Eyre;Charlotte Bronte;Can Yayýnlarý;Read;Ege Balçýk
Sarý Duvar Kaðýdý;Charlotte Perkins Gilman;Ýthaki;Read;Ege Balçýk
Kadýnlar Ülkesi;Charlotte Perkins Gilman;Ýthaki;Read;Ege Balçýk
Feminist Manifesto;Chimamanda Ngozi Adichie;Doðan Kitap;Read;Ege Balçýk
Pantolonun Politik Tarihi;Christine Bard;Sel Yayýncýlýk;To-Read;Ege Balçýk
Her Þey Bitmek Ýçin Baþlar;Cicero;Aylak Adam;Read;Ege Balçýk
Kurtlarla Koþan Kadýnlar;Clarissa P. Estes;Ayrýntý;To-Read;Ege Balçýk
Kadýn Çirkinliðinin Tarihi;Claudine Sagaert;Maya Kitap;To-Read;Ege Balçýk
Dokudünya;Clive Barker;Ýthaki;To-Read;Ege Balçýk
Cehennemlik Yürek;Clive Barker;Ýthaki;Read;Ege Balçýk
Weimar Cumhuriyeti'nin Kýsa Tarihi;Coline Storer;Ýletiþim;To-Read;Ege Balçýk
Evrim Kuramý ve Mekanizmalarý;Çaðrý Mert Bakýrcý;Ginko;To-Read;Ege Balçýk
Lise Öðretmeni Pedersenin Ülkemize Musallat Olan Büyük Siyasi Uyanýþa Dair Anlatýsý;Dag Solstad;YKY;To-Read;Ege Balçýk
Mahcubiyet ve Haysiyet;Dag Solstad;YKY;Read;Ege Balçýk
Bitkilerin Bildikleri;Daniel Chamovitz;Metis Yayýnlarý;Read;Ege Balçýk
Ýlahi Komedya 1;Dante Alighieri;Oðlak Yayýnlarý;Read;Ege Balçýk
Ýlahi Komedya 2;Dante Alighieri;Oðlak Yayýnlarý;Read;Ege Balçýk
Ýlahi Komedya 3;Dante Alighieri;Oðlak Yayýnlarý;To-Read;Ege Balçýk
Diktatörlük ve Demokrasinin Ekonomik Kökenleri;Daron Acemoðlu;Baðlam;To-Read;Ege Balçýk
Mikroekonomi;Daron Acemoðlu;Beta;To-Read;Ege Balçýk
Uluslarýn Düþüþü;Daron Acemoðlu;Doðan Kitap;To-Read;Ege Balçýk
Yeni Emperyalizm;David Harvey;Sel Yayýncýlýk;To-Read;Ege Balçýk
Kýzýl Bayrak;David Priestland;Ýletiþim;To-Read;Ege Balçýk
Hýz;Dee Jacob-Jeff Cox-Suzan Bergland;Optimist;To-Read;Ege Balçýk
Hürrem;Demet Altýnyeleklioðlu;Artemis Yayýnlarý;Read;Ege Balçýk
Felsefe Konuþmalarý;Denis Diderot;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Ahraz;Deniz Gezgin;Can Yayýnlarý;To-Read;Ege Balçýk
Ben Murtaza;Deniz Tarsus;Alakarga;To-Read;Ege Balçýk
Empresyonistler;Diana Newall;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Drawing Power;Diane Noomin;Abrams Comic Art;To-Read;Ege Balçýk
Tatar Çölü;Dino Buzzati;Ýletiþim;Read;Ege Balçýk
Ýçimizdeki Çocuk;Doðan Cüceloðlu;Remzi;Read;Ege Balçýk
100 Soruda Sosyoloji El Kitabý;Doðan Ergun;Ýmge;To-Read;Ege Balçýk
Siyasi Düþünce Tarihi;Donald G. Tannenbaum;;To-Read;Ege Balçýk
Osmanlý Ýmparayorluðu 1700-1922;Donald Quataert;Ýletiþim;To-Read;Ege Balçýk
Otostopçunun Galaksi Rehberi;Douglas Adams;Alfa;Read;Ege Balçýk
Kadýnýn Adý Yok;Duygu Asena;Doðan Kitap;Read;Ege Balçýk
Küçük Güzeldir;E.F. Schumacher;Varlýk;To-Read;Ege Balçýk
Kapital Manga 1;East Press;Yordam;To-Read;Ege Balçýk
Kapital Manga 2;East Press;Yordam;To-Read;Ege Balçýk
Nantucketlý Arthur Gordon Pym'in Öyküsü;Edgar Ellan Poe;Ýthaki;Read;Ege Balçýk
Gerçekten Bilmeniz Gereken 50 Ekonomi Fikri;Edmund Cobway;Domingo Yayýnlarý;To-Read;Ege Balçýk
Michael Bakunin;Edward Hallett Carr;Ýletiþim;To-Read;Ege Balçýk
Amaç;Eliyahu M. Goldratt;Optimist;To-Read;Ege Balçýk
Sosyoloji Dersleri;Emile Durkheim;Ýletiþim;To-Read;Ege Balçýk
Sultanýn Casuslarý;Emrah Sefa Gürkan;Kronik;To-Read;Ege Balçýk
Bunu Herkes Bilir;Emrah Sefa Gürkan;Kronik;Read;Ege Balçýk
Basit Bir Es;Enis Batur;Kýrmýzýkedi;Read;Ege Balçýk
Deliliðe Övgü;Erasmus;Cem Yayýnlarý;To-Read;Ege Balçýk
Modernleþen Türkiye'nin Tarihi;Eric Jan Zürcher;Ýletiþim;Read;Ege Balçýk
Sevme Sanatý;Erich Fromm;Say Yayýnlarý;To-Read;Ege Balçýk
Yaþamak Ýçin Sosyalizm;Erkan Baþ;Ýleri;To-Read;Ege Balçýk
Ýmparator;Erol Toy;Yaz Yayýnlarý;To-Read;Ege Balçýk
Lilith;Esra Pekin;Sel Yayýncýlýk;Read;Ege Balçýk
Tanrý Olmak Ýsteyen Otobüs Þoförü;Etgar Keret;Siren;To-Read;Ege Balçýk
Toplumsal Cinsiyet ve Bilim;Evelyn Fox Keller;Metis Yayýnlarý;To-Read;Ege Balçýk
Genin Yüzyýlý;Evelyn Fox Keller;Metis Yayýnlarý;To-Read;Ege Balçýk
Kadýn Budalasý;F. M. Dostoyevski;Bordo Siyah;Read;Ege Balçýk
Dürüst Hýrsýz;F. M. Dostoyevski;Can Yayýnlarý;Read;Ege Balçýk
Yeraltýndan Notlar;F. M. Dostoyevski;Can Yayýnlarý;Read;Ege Balçýk
Budala;F. M. Dostoyevski;Can Yayýnlarý;Read;Ege Balçýk
Karamazov Kardeþler;F. M. Dostoyevski;Can Yayýnlarý;Read;Ege Balçýk
Delikanlý;F. M. Dostoyevski;Ýletiþim;To-Read;Ege Balçýk
Suç Ve Ceza;F. M. Dostoyevski;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Kumarbaz;F. M. Dostoyevski;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Ezilenler;F. M. Dostoyevski;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
